high,timestamp,volume,low,close,open
5291.48,2019-04-25 17:00:00,15033.1017793,5046.31,5155.19,5132.5
5218.31,2019-04-26 17:00:00,4041.33355341,5113.0,5168.91,5154.11
5213.23,2019-04-27 17:00:00,3957.25435637,5099.0,5160.98,5171.51
5191.96,2019-04-28 17:00:00,5753.61513714,5071.58,5149.11,5152.98
5287.4,2019-04-29 17:00:00,5055.2728357,5127.05,5269.0,5150.21
5357.96,2019-04-30 17:00:00,4209.28441353,5263.03,5318.42,5267.86
5422.94,2019-05-01 17:00:00,5908.52172325,5304.99,5385.0,5322.28
5796.56,2019-05-02 17:00:00,12700.58899257,5363.1,5658.22,5385.0
5846.13,2019-05-03 17:00:00,8525.45570755,5510.0,5764.65,5659.82
5782.55,2019-05-04 17:00:00,5162.56182988,5624.25,5709.32,5766.46
5755.79,2019-05-05 17:00:00,6826.98087533,5562.44,5685.46,5714.4
5970.0,2019-05-06 17:00:00,10741.56186069,5686.88,5751.54,5686.88
5986.0,2019-05-07 17:00:00,6320.4135454,5658.66,5940.89,5751.54
6172.0,2019-05-08 17:00:00,9081.24077807,5932.83,6156.7,5945.32
6426.8,2019-05-09 17:00:00,13821.71360689,6105.0,6342.84,6151.66
7445.0,2019-05-10 17:00:00,22331.43531269,6338.93,7217.47,6338.93
7585.0,2019-05-11 17:00:00,27398.21436403,6762.57,6974.35,7214.4
8167.5,2019-05-12 17:00:00,27299.34473923,6863.75,7810.05,6968.84
8335.56,2019-05-13 17:00:00,18881.44115957,7618.99,7986.0,7810.72
8300.0,2019-05-14 17:00:00,16613.07123458,7838.0,8208.69,7991.72
8390.95,2019-05-15 17:00:00,17078.7037596,7654.93,7880.0,8203.97
7942.09,2019-05-16 17:00:00,27307.57969969,6178.0,7351.71,7879.28
7493.85,2019-05-17 17:00:00,7564.89968988,7205.57,7260.12,7352.39
8299.99,2019-05-18 17:00:00,15595.26745165,7247.86,8200.0,7257.82
8199.97,2019-05-19 17:00:00,13426.78750889,7581.03,8005.64,8193.45
8117.48,2019-05-20 17:00:00,7518.5556768999995,7676.27,7955.16,8007.67
8049.22,2019-05-21 17:00:00,8396.82203697,7505.69,7624.95,7949.18
7980.0,2019-05-22 17:00:00,8370.35625318,7468.31,7880.22,7622.9
8188.87,2019-05-23 17:00:00,9358.97181211,7795.95,7999.02,7880.4
8158.45,2019-05-24 17:00:00,3361.65325124,7939.76,8064.64,7999.02
8802.29,2019-05-25 17:00:00,8526.81164447,7888.91,8733.26,8066.15
8939.18,2019-05-26 17:00:00,8948.02467376,8653.68,8770.73,8733.27
8817.41,2019-05-27 17:00:00,6144.01124571,8540.94,8717.96,8774.45
8762.39,2019-05-28 17:00:00,7584.25785894,8421.12,8663.41,8715.35
9096.79,2019-05-29 17:00:00,15259.58792555,8000.0,8277.76,8663.07
8589.99,2019-05-30 17:00:00,9957.91006545,8109.74,8547.2,8277.76
8624.72,2019-05-31 17:00:00,5167.05130706,8457.33,8556.27,8545.8
8833.97,2019-06-01 17:00:00,4263.036165300001,8546.01,8734.49,8560.1
8745.96,2019-06-02 17:00:00,9955.03261894,8049.22,8103.64,8735.84
8103.63,2019-06-03 17:00:00,15485.70215021,7432.84,7665.53,8103.63
7924.48,2019-06-04 17:00:00,9193.71188764,7570.9,7785.94,7673.41
7878.62,2019-06-05 17:00:00,8738.66635896,7449.68,7806.07,7784.62
8134.99,2019-06-06 17:00:00,9012.09615945,7758.93,8001.25,7801.97
8061.12,2019-06-07 17:00:00,4870.11556741,7777.67,7932.27,8002.68
7966.58,2019-06-08 17:00:00,3895.84810538,7511.41,7632.99,7933.17
8090.0,2019-06-09 17:00:00,7150.59429755,7523.16,8021.1,7629.98
8057.32,2019-06-10 17:00:00,5552.68803771,7713.34,7919.1,8017.99
8266.0,2019-06-11 17:00:00,8577.16249687,7821.73,8176.27,7915.7
8335.56,2019-06-12 17:00:00,7237.80039095,8049.22,8238.0,8171.12
8737.37,2019-06-13 17:00:00,8678.250306299999,8174.92,8697.54,8235.44
8911.98,2019-06-14 17:00:00,5275.753069100001,8623.52,8857.19,8694.74
9391.85,2019-06-15 17:00:00,15018.85335613,8805.0,8974.19,8857.19
9477.7,2019-06-16 17:00:00,12760.96069746,8973.02,9333.48,8973.02
9361.87,2019-06-17 17:00:00,11327.45394298,8918.0,9078.84,9333.48
9325.85,2019-06-18 17:00:00,4687.25984305,9036.19,9278.27,9076.51
