"filename","sheetname","clusters","max_refs","avg_refs","min_refs","formulas","ratio"
"andrea_ring_000_1_1.pst.41.xls","Customer Pricing",11,7,3.0030395136778116,0,658,59.8181818181818182
"andrew_lewis_000_1_1.pst.1.xls","Sheet2",1,1,1.00000000000000000000,1,910,910.0000000000000000
"andrew_lewis_000_1_1.pst.12.xls","Feeds",4,5,2.3417266187050360,1,556,139.0000000000000000
"andrew_lewis_000_1_1.pst.12.xls","Fuel Hist",1,12,8.5000000000000000,5,156,156.0000000000000000
"andrew_lewis_000_1_1.pst.12.xls","GL",6,3,1.7962962962962963,0,108,18.0000000000000000
"andrew_lewis_000_1_1.pst.12.xls","Option",14,7,2.6266666666666667,0,1200,85.7142857142857143
"andrew_lewis_000_1_1.pst.12.xls","Sheet1",10,4,1.9735449735449735,0,1134,113.4000000000000000
"andrew_lewis_000_1_1.pst.12.xls","Swap",22,175,3.1879543094496366,1,5778,262.6363636363636364
"andrew_lewis_000_1_1.pst.3.xls","Sheet1",5,4,2.9836065573770492,2,366,73.2000000000000000
"andrew_lewis_000_1_1.pst.39.xls","MENSA QUESTIONAIRE",4,33,2.4285714285714286,1,140,35.0000000000000000
"andrew_lewis_000_1_1.pst.40.xls","Crack Spread Option",3,12,10.4285714285714286,2,168,56.0000000000000000
"andy_zipper_000_1_1.pst.10.xls","summaryJ8T648",20,90,8.5942028985507246,0,552,27.6000000000000000
"andy_zipper_000_1_1.pst.10.xls","summaryS8P705",11,82,4.7261146496815287,0,314,28.5454545454545455
"andy_zipper_000_1_1.pst.103.xls","FINANCIAL",4,8,1.6036585365853659,1,328,82.0000000000000000
"andy_zipper_000_1_1.pst.103.xls","PHYSICAL",4,8,1.6369863013698630,1,292,73.0000000000000000
"andy_zipper_000_1_1.pst.103.xls","PHYSICAL & FINANCIAL",4,8,1.6073619631901840,1,326,81.5000000000000000
"andy_zipper_000_1_1.pst.104.xls","Daily Deals Graph",1,9953,563.9401709401709402,483,234,234.0000000000000000
"andy_zipper_000_1_1.pst.104.xls","Deal Detail",4,36,12.7500000000000000,1,4176,1044.0000000000000000
"andy_zipper_000_1_1.pst.104.xls","Failed Transaction Detail",1,1,1.00000000000000000000,1,892,892.0000000000000000
"andy_zipper_000_1_1.pst.106.xls","DD-EGL",7,9985,12.3875083948959033,1,2978,425.4285714285714286
"andy_zipper_000_1_1.pst.106.xls","DD-ENA",6,9977,36.8479138627187079,1,2972,495.3333333333333333
"andy_zipper_000_1_1.pst.106.xls","DD-EPM",9,9965,7.8861325742171614,1,4918,546.4444444444444444
"andy_zipper_000_1_1.pst.106.xls","TRANSACTIONSUMMARYREPORT -1",9,19985,27.2251400560224090,1,119952,13328.000000000000
"andy_zipper_000_1_1.pst.11.xls","Monthly Data",5,29,2.8387096774193548,1,744,148.8000000000000000
"andy_zipper_000_1_1.pst.11.xls","Totals yr 2000 ",5,32,5.7967479674796748,2,492,98.4000000000000000
"andy_zipper_000_1_1.pst.111.xls","Daily Deals Graph",1,9953,644.8717948717948718,483,234,234.0000000000000000
"andy_zipper_000_1_1.pst.111.xls","Deal Detail",4,41,14.0000000000000000,1,4368,1092.0000000000000000
"andy_zipper_000_1_1.pst.111.xls","Failed Transaction Detail",1,1,1.00000000000000000000,1,892,892.0000000000000000
"andy_zipper_000_1_1.pst.112.xls","Apr 23-27",10,3,1.8103448275862069,0,232,23.2000000000000000
"andy_zipper_000_1_1.pst.112.xls","Apr 23-27 no Val",10,3,1.7692307692307692,0,182,18.2000000000000000
"andy_zipper_000_1_1.pst.112.xls","Apr 30-May 4",10,3,1.8103448275862069,0,232,23.2000000000000000
"andy_zipper_000_1_1.pst.112.xls","Apr 30-May 4 no Val ",10,3,1.7608695652173913,0,184,18.4000000000000000
"andy_zipper_000_1_1.pst.112.xls","Graph data",3,2,1.0242424242424242,1,330,110.0000000000000000
"andy_zipper_000_1_1.pst.112.xls","May 14- May 18 no notional",10,3,1.7608695652173913,0,184,18.4000000000000000
"andy_zipper_000_1_1.pst.112.xls","May 14 - May 18",10,3,1.8189655172413793,1,232,23.2000000000000000
"andy_zipper_000_1_1.pst.112.xls","May 21- May 25 no notional ",10,5,1.6842105263157895,0,228,22.8000000000000000
"andy_zipper_000_1_1.pst.112.xls","May 7 - May 11",10,3,1.7580645161290323,0,248,24.8000000000000000
"andy_zipper_000_1_1.pst.112.xls","May 7 - May 11 no notional val",10,3,1.6796116504854369,0,206,20.6000000000000000
"andy_zipper_000_1_1.pst.115.xls","DD-EGL",7,9985,12.3875083948959033,1,2978,425.4285714285714286
"andy_zipper_000_1_1.pst.115.xls","DD-ENA",6,9977,36.8479138627187079,1,2972,495.3333333333333333
"andy_zipper_000_1_1.pst.115.xls","DD-EPM",9,9965,7.8861325742171614,1,4918,546.4444444444444444
"andy_zipper_000_1_1.pst.115.xls","TRANSACTIONSUMMARYREPORT -1",9,19985,27.2251400560224090,1,119952,13328.000000000000
"andy_zipper_000_1_1.pst.12.xls","Consultant and Enron Valuation",10,22,3.4142857142857143,1,140,14.0000000000000000
"andy_zipper_000_1_1.pst.12.xls","Grouped comp",3,1290,4.8316192780802581,1,9918,3306.0000000000000000
"andy_zipper_000_1_1.pst.12.xls","Rest of the world",6,178,4.0577136514983352,2,3604,600.6666666666666667
"andy_zipper_000_1_1.pst.12.xls","SPV Valuation",8,32,3.5135135135135135,2,148,18.5000000000000000
"andy_zipper_000_1_1.pst.12.xls","US Companies",6,280,4.0729978738483345,2,5644,940.6666666666666667
"andy_zipper_000_1_1.pst.120.xls","DD-EGL",7,9985,12.3875083948959033,1,2978,425.4285714285714286
"andy_zipper_000_1_1.pst.120.xls","DD-ENA",6,9977,36.8479138627187079,1,2972,495.3333333333333333
"andy_zipper_000_1_1.pst.120.xls","DD-EPM",9,9965,7.8861325742171614,1,4918,546.4444444444444444
"andy_zipper_000_1_1.pst.120.xls","TRANSACTIONSUMMARYREPORT -1",9,19985,27.2251400560224090,1,119952,13328.000000000000
"andy_zipper_000_1_1.pst.122.xls","DD-EGL",7,9985,12.3875083948959033,1,2978,425.4285714285714286
"andy_zipper_000_1_1.pst.122.xls","DD-ENA",6,9977,36.8479138627187079,1,2972,495.3333333333333333
"andy_zipper_000_1_1.pst.122.xls","DD-EPM",9,9965,7.8861325742171614,1,4918,546.4444444444444444
"andy_zipper_000_1_1.pst.122.xls","TRANSACTIONSUMMARYREPORT -1",9,19985,27.2251400560224090,1,119952,13328.000000000000
"andy_zipper_000_1_1.pst.124.xls","Apr 23-27",10,3,1.8103448275862069,0,232,23.2000000000000000
"andy_zipper_000_1_1.pst.124.xls","Apr 23-27 no Val",10,3,1.7692307692307692,0,182,18.2000000000000000
"andy_zipper_000_1_1.pst.124.xls","Apr 30-May 4",10,3,1.8103448275862069,0,232,23.2000000000000000
"andy_zipper_000_1_1.pst.124.xls","Apr 30-May 4 no Val ",10,3,1.7608695652173913,0,184,18.4000000000000000
"andy_zipper_000_1_1.pst.124.xls","Graph data",3,2,1.0520833333333333,1,384,128.0000000000000000
"andy_zipper_000_1_1.pst.124.xls","May 14- May 18 no notional",10,3,1.7608695652173913,0,184,18.4000000000000000
"andy_zipper_000_1_1.pst.124.xls","May 14 - May 18",10,3,1.8189655172413793,1,232,23.2000000000000000
"andy_zipper_000_1_1.pst.124.xls","May 21- May 25 no notional ",10,5,1.6842105263157895,0,228,22.8000000000000000
"andy_zipper_000_1_1.pst.124.xls","May 21 - May 25",10,5,1.7338129496402878,0,278,27.8000000000000000
"andy_zipper_000_1_1.pst.124.xls","May 7 - May 11",10,3,1.7580645161290323,0,248,24.8000000000000000
"andy_zipper_000_1_1.pst.124.xls","May 7 - May 11 no notional val",10,3,1.6796116504854369,0,206,20.6000000000000000
"andy_zipper_000_1_1.pst.13.xls","Consultant and Enron Valuation",10,22,3.4285714285714286,1,140,14.0000000000000000
"andy_zipper_000_1_1.pst.13.xls","Grouped comp",3,1290,4.8316192780802581,1,9918,3306.0000000000000000
"andy_zipper_000_1_1.pst.13.xls","Rest of the world",6,178,4.0577136514983352,2,3604,600.6666666666666667
"andy_zipper_000_1_1.pst.13.xls","SPV Valuation",8,32,3.5135135135135135,2,148,18.5000000000000000
"andy_zipper_000_1_1.pst.13.xls","US Companies",6,280,4.0729978738483345,2,5644,940.6666666666666667
"andy_zipper_000_1_1.pst.130.xls","FINANCIAL",4,8,1.6036585365853659,1,328,82.0000000000000000
"andy_zipper_000_1_1.pst.130.xls","PHYSICAL",4,8,1.6369863013698630,1,292,73.0000000000000000
"andy_zipper_000_1_1.pst.130.xls","PHYSICAL & FINANCIAL",4,8,1.6073619631901840,1,326,81.5000000000000000
"andy_zipper_000_1_1.pst.134.xls","Transaction Listing -1",2,2,1.5000000000000000,1,6448,3224.0000000000000000
"andy_zipper_000_1_1.pst.138.xls","DD-EGL",7,9985,12.3875083948959033,1,2978,425.4285714285714286
"andy_zipper_000_1_1.pst.138.xls","DD-ENA",6,9977,36.8479138627187079,1,2972,495.3333333333333333
"andy_zipper_000_1_1.pst.138.xls","DD-EPM",9,9965,7.8861325742171614,1,4918,546.4444444444444444
"andy_zipper_000_1_1.pst.138.xls","TRANSACTIONSUMMARYREPORT -1",9,19985,27.2251400560224090,1,119952,13328.000000000000
"andy_zipper_000_1_1.pst.14.xls","Daily Deals Graph",1,9953,563.9401709401709402,483,234,234.0000000000000000
"andy_zipper_000_1_1.pst.14.xls","Deal Detail",4,36,12.7500000000000000,1,4176,1044.0000000000000000
"andy_zipper_000_1_1.pst.14.xls","Failed Transaction Detail",1,1,1.00000000000000000000,1,892,892.0000000000000000
"andy_zipper_000_1_1.pst.140.xls","Apr 23-27",10,3,1.8103448275862069,0,232,23.2000000000000000
"andy_zipper_000_1_1.pst.140.xls","Apr 23-27 no Val",10,3,1.7692307692307692,0,182,18.2000000000000000
"andy_zipper_000_1_1.pst.140.xls","Apr 30-May 4",10,3,1.8103448275862069,0,232,23.2000000000000000
"andy_zipper_000_1_1.pst.140.xls","Apr 30-May 4 no Val ",10,3,1.7608695652173913,0,184,18.4000000000000000
"andy_zipper_000_1_1.pst.140.xls","Graph data",3,2,1.0209424083769634,1,382,127.3333333333333333
"andy_zipper_000_1_1.pst.140.xls","May 14- May 18 no notional",10,3,1.7608695652173913,0,184,18.4000000000000000
"andy_zipper_000_1_1.pst.140.xls","May 14 - May 18",10,3,1.8189655172413793,1,232,23.2000000000000000
"andy_zipper_000_1_1.pst.140.xls","May 21- May 25 no notional ",10,5,1.6842105263157895,0,228,22.8000000000000000
"andy_zipper_000_1_1.pst.140.xls","May 21 - May 25",10,5,1.7338129496402878,0,278,27.8000000000000000
"andy_zipper_000_1_1.pst.140.xls","May 28- June 01 no notional",10,6,1.6779661016949153,0,236,23.6000000000000000
"andy_zipper_000_1_1.pst.140.xls","May 7 - May 11",10,3,1.7580645161290323,0,248,24.8000000000000000
"andy_zipper_000_1_1.pst.140.xls","May 7 - May 11 no notional val",10,3,1.6796116504854369,0,206,20.6000000000000000
"andy_zipper_000_1_1.pst.141.xls","Apr 23-27",10,3,1.8103448275862069,0,232,23.2000000000000000
"andy_zipper_000_1_1.pst.141.xls","Apr 23-27 no Val",10,3,1.7692307692307692,0,182,18.2000000000000000
"andy_zipper_000_1_1.pst.141.xls","Apr 30-May 4",10,3,1.8103448275862069,0,232,23.2000000000000000
"andy_zipper_000_1_1.pst.141.xls","Apr 30-May 4 no Val ",10,3,1.7608695652173913,0,184,18.4000000000000000
"andy_zipper_000_1_1.pst.141.xls","Graph data",3,2,1.0209424083769634,1,382,127.3333333333333333
"andy_zipper_000_1_1.pst.141.xls","May 14- May 18 no notional",10,3,1.7608695652173913,0,184,18.4000000000000000
"andy_zipper_000_1_1.pst.141.xls","May 14 - May 18",10,3,1.8189655172413793,1,232,23.2000000000000000
"andy_zipper_000_1_1.pst.141.xls","May 21- May 25 no notional ",10,5,1.6842105263157895,0,228,22.8000000000000000
"andy_zipper_000_1_1.pst.141.xls","May 21 - May 25",10,5,1.7338129496402878,0,278,27.8000000000000000
"andy_zipper_000_1_1.pst.141.xls","May 28- June 01 no notional",10,6,1.6779661016949153,0,236,23.6000000000000000
"andy_zipper_000_1_1.pst.141.xls","May 28 - June 01",10,6,1.7222222222222222,0,288,28.8000000000000000
"andy_zipper_000_1_1.pst.141.xls","May 7 - May 11",10,3,1.7580645161290323,0,248,24.8000000000000000
"andy_zipper_000_1_1.pst.141.xls","May 7 - May 11 no notional val",10,3,1.6796116504854369,0,206,20.6000000000000000
"andy_zipper_000_1_1.pst.142.xls","DD-EGL",7,9985,12.3875083948959033,1,2978,425.4285714285714286
"andy_zipper_000_1_1.pst.142.xls","DD-ENA",6,9977,36.8479138627187079,1,2972,495.3333333333333333
"andy_zipper_000_1_1.pst.142.xls","DD-EPM",9,9965,7.8861325742171614,1,4918,546.4444444444444444
"andy_zipper_000_1_1.pst.142.xls","TRANSACTIONSUMMARYREPORT -1",9,19985,27.2251400560224090,1,119952,13328.000000000000
